CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,MEDV
0.0717,0.0000,25.6500,0.0000,0.5810,6.0040,84.1000,2.1974,2.0000,188.0000,19.1000,20.3000
0.0930,0.0000,25.6500,0.0000,0.5810,5.9610,92.9000,2.0869,2.0000,188.0000,19.1000,20.5000
0.1504,0.0000,25.6500,0.0000,0.5810,5.8560,97.0000,1.9444,2.0000,188.0000,19.1000,17.3000
0.0985,0.0000,25.6500,0.0000,0.5810,5.8790,95.8000,2.0063,2.0000,188.0000,19.1000,18.8000
0.1690,0.0000,25.6500,0.0000,0.5810,5.9860,88.4000,1.9929,2.0000,188.0000,19.1000,21.4000
0.3874,0.0000,25.6500,0.0000,0.5810,5.6130,95.6000,1.7572,2.0000,188.0000,19.1000,15.7000
0.2591,0.0000,21.8900,0.0000,0.6240,5.6930,96.0000,1.7883,4.0000,437.0000,21.2000,16.2000
0.3254,0.0000,21.8900,0.0000,0.6240,6.4310,98.8000,1.8125,4.0000,437.0000,21.2000,18.0000
0.8812,0.0000,21.8900,0.0000,0.6240,5.6370,94.7000,1.9799,4.0000,437.0000,21.2000,14.3000
0.3401,0.0000,21.8900,0.0000,0.6240,6.4580,98.9000,2.1185,4.0000,437.0000,21.2000,19.2000
1.1929,0.0000,21.8900,0.0000,0.6240,6.3260,97.7000,2.2710,4.0000,437.0000,21.2000,19.6000
0.5900,0.0000,21.8900,0.0000,0.6240,6.3720,97.9000,2.3274,4.0000,437.0000,21.2000,23.0000
0.3298,0.0000,21.8900,0.0000,0.6240,5.8220,95.4000,2.4699,4.0000,437.0000,21.2000,18.4000
0.9762,0.0000,21.8900,0.0000,0.6240,5.7570,98.4000,2.3460,4.0000,437.0000,21.2000,15.6000
0.5578,0.0000,21.8900,0.0000,0.6240,6.3350,98.2000,2.1107,4.0000,437.0000,21.2000,18.1000
0.3226,0.0000,21.8900,0.0000,0.6240,5.9420,93.5000,1.9669,4.0000,437.0000,21.2000,17.4000
0.3523,0.0000,21.8900,0.0000,0.6240,6.4540,98.4000,1.8498,4.0000,437.0000,21.2000,17.1000
0.2498,0.0000,21.8900,0.0000,0.6240,5.8570,98.2000,1.6686,4.0000,437.0000,21.2000,13.3000
0.5445,0.0000,21.8900,0.0000,0.6240,6.1510,97.9000,1.6687,4.0000,437.0000,21.2000,17.8000
0.2909,0.0000,21.8900,0.0000,0.6240,6.1740,93.6000,1.6119,4.0000,437.0000,21.2000,14.0000
1.6286,0.0000,21.8900,0.0000,0.6240,5.0190,100.0000,1.4394,4.0000,437.0000,21.2000,14.4000
3.3211,0.0000,19.5800,1.0000,0.8710,5.4030,100.0000,1.3216,5.0000,403.0000,14.7000,13.4000
4.0974,0.0000,19.5800,0.0000,0.8710,5.4680,100.0000,1.4118,5.0000,403.0000,14.7000,15.6000
2.7797,0.0000,19.5800,0.0000,0.8710,4.9030,97.8000,1.3459,5.0000,403.0000,14.7000,11.8000
2.3793,0.0000,19.5800,0.0000,0.8710,6.1300,100.0000,1.4191,5.0000,403.0000,14.7000,13.8000
2.1551,0.0000,19.5800,0.0000,0.8710,5.6280,100.0000,1.5166,5.0000,403.0000,14.7000,15.6000
2.3686,0.0000,19.5800,0.0000,0.8710,4.9260,95.7000,1.4608,5.0000,403.0000,14.7000,14.6000
2.3310,0.0000,19.5800,0.0000,0.8710,5.1860,93.8000,1.5296,5.0000,403.0000,14.7000,17.8000
2.7340,0.0000,19.5800,0.0000,0.8710,5.5970,94.9000,1.5257,5.0000,403.0000,14.7000,15.4000
1.6566,0.0000,19.5800,0.0000,0.8710,6.1220,97.3000,1.6180,5.0000,403.0000,14.7000,21.5000
1.4963,0.0000,19.5800,0.0000,0.8710,5.4040,100.0000,1.5916,5.0000,403.0000,14.7000,19.6000
1.1266,0.0000,19.5800,1.0000,0.8710,5.0120,88.0000,1.6102,5.0000,403.0000,14.7000,15.3000
2.1492,0.0000,19.5800,0.0000,0.8710,5.7090,98.5000,1.6232,5.0000,403.0000,14.7000,19.4000
1.4139,0.0000,19.5800,1.0000,0.8710,6.1290,96.0000,1.7494,5.0000,403.0000,14.7000,17.0000
3.5350,0.0000,19.5800,1.0000,0.8710,6.1520,82.6000,1.7455,5.0000,403.0000,14.7000,15.6000
2.4467,0.0000,19.5800,0.0000,0.8710,5.2720,94.0000,1.7364,5.0000,403.0000,14.7000,13.1000
1.2236,0.0000,19.5800,0.0000,0.6050,6.9430,97.4000,1.8773,5.0000,403.0000,14.7000,41.3000
1.3428,0.0000,19.5800,0.0000,0.6050,6.0660,100.0000,1.7573,5.0000,403.0000,14.7000,24.3000
1.4250,0.0000,19.5800,0.0000,0.8710,6.5100,100.0000,1.7659,5.0000,403.0000,14.7000,23.3000
1.2735,0.0000,19.5800,1.0000,0.6050,6.2500,92.6000,1.7984,5.0000,403.0000,14.7000,27.0000
1.4634,0.0000,19.5800,0.0000,0.6050,7.4890,90.8000,1.9709,5.0000,403.0000,14.7000,50.0000
1.8338,0.0000,19.5800,1.0000,0.6050,7.8020,98.2000,2.0407,5.0000,403.0000,14.7000,50.0000
1.5190,0.0000,19.5800,1.0000,0.6050,8.3750,93.9000,2.1620,5.0000,403.0000,14.7000,50.0000
2.2424,0.0000,19.5800,0.0000,0.6050,5.8540,91.8000,2.4220,5.0000,403.0000,14.7000,22.7000
2.9240,0.0000,19.5800,0.0000,0.6050,6.1010,93.0000,2.2834,5.0000,403.0000,14.7000,25.0000
2.0102,0.0000,19.5800,0.0000,0.6050,7.9290,96.2000,2.0459,5.0000,403.0000,14.7000,50.0000
1.8003,0.0000,19.5800,0.0000,0.6050,5.8770,79.2000,2.4259,5.0000,403.0000,14.7000,23.8000
2.3004,0.0000,19.5800,0.0000,0.6050,6.3190,96.1000,2.1000,5.0000,403.0000,14.7000,23.8000
2.4495,0.0000,19.5800,0.0000,0.6050,6.4020,95.2000,2.2625,5.0000,403.0000,14.7000,22.3000
1.2074,0.0000,19.5800,0.0000,0.6050,5.8750,94.6000,2.4259,5.0000,403.0000,14.7000,17.4000
2.3139,0.0000,19.5800,0.0000,0.6050,5.8800,97.3000,2.3887,5.0000,403.0000,14.7000,19.1000
0.1391,0.0000,4.0500,0.0000,0.5100,5.5720,88.5000,2.5961,5.0000,296.0000,16.6000,23.1000
0.0918,0.0000,4.0500,0.0000,0.5100,6.4160,84.1000,2.6463,5.0000,296.0000,16.6000,23.6000
0.0845,0.0000,4.0500,0.0000,0.5100,5.8590,68.7000,2.7019,5.0000,296.0000,16.6000,22.6000
0.0666,0.0000,4.0500,0.0000,0.5100,6.5460,33.1000,3.1323,5.0000,296.0000,16.6000,29.4000
0.0702,0.0000,4.0500,0.0000,0.5100,6.0200,47.2000,3.5549,5.0000,296.0000,16.6000,23.2000
0.0542,0.0000,4.0500,0.0000,0.5100,6.3150,73.4000,3.3175,5.0000,296.0000,16.6000,24.6000
0.0664,0.0000,4.0500,0.0000,0.5100,6.8600,74.4000,2.9153,5.0000,296.0000,16.6000,29.9000
0.0578,0.0000,2.4600,0.0000,0.4880,6.9800,58.4000,2.8290,3.0000,193.0000,17.8000,37.2000
0.0659,0.0000,2.4600,0.0000,0.4880,7.7650,83.3000,2.7410,3.0000,193.0000,17.8000,39.8000
0.0689,0.0000,2.4600,0.0000,0.4880,6.1440,62.2000,2.5979,3.0000,193.0000,17.8000,36.2000
0.0910,0.0000,2.4600,0.0000,0.4880,7.1550,92.2000,2.7006,3.0000,193.0000,17.8000,37.9000
0.1001,0.0000,2.4600,0.0000,0.4880,6.5630,95.6000,2.8470,3.0000,193.0000,17.8000,32.5000
0.0831,0.0000,2.4600,0.0000,0.4880,5.6040,89.8000,2.9879,3.0000,193.0000,17.8000,26.4000
0.0605,0.0000,2.4600,0.0000,0.4880,6.1530,68.8000,3.2797,3.0000,193.0000,17.8000,29.6000
0.0560,0.0000,2.4600,0.0000,0.4880,7.8310,53.6000,3.1992,3.0000,193.0000,17.8000,50.0000
0.0788,45.0000,3.4400,0.0000,0.4370,6.7820,41.1000,3.7886,5.0000,398.0000,15.2000,32.0000
0.1258,45.0000,3.4400,0.0000,0.4370,6.5560,29.1000,4.5667,5.0000,398.0000,15.2000,29.8000
0.0837,45.0000,3.4400,0.0000,0.4370,7.1850,38.9000,4.5667,5.0000,398.0000,15.2000,34.9000
0.0907,45.0000,3.4400,0.0000,0.4370,6.9510,21.5000,6.4798,5.0000,398.0000,15.2000,37.0000
0.0691,45.0000,3.4400,0.0000,0.4370,6.7390,30.8000,6.4798,5.0000,398.0000,15.2000,30.5000
0.0866,45.0000,3.4400,0.0000,0.4370,7.1780,26.3000,6.4798,5.0000,398.0000,15.2000,36.4000
0.0219,60.0000,2.9300,0.0000,0.4010,6.8000,9.9000,6.2196,1.0000,265.0000,15.6000,31.1000
0.0144,60.0000,2.9300,0.0000,0.4010,6.6040,18.8000,6.2196,1.0000,265.0000,15.6000,29.1000
0.0138,80.0000,0.4600,0.0000,0.4220,7.8750,32.0000,5.6484,4.0000,255.0000,14.4000,50.0000
0.0401,80.0000,1.5200,0.0000,0.4040,7.2870,34.1000,7.3090,2.0000,329.0000,12.6000,33.3000
0.0467,80.0000,1.5200,0.0000,0.4040,7.1070,36.6000,7.3090,2.0000,329.0000,12.6000,30.3000
0.0377,80.0000,1.5200,0.0000,0.4040,7.2740,38.3000,7.3090,2.0000,329.0000,12.6000,34.6000
0.0315,95.0000,1.4700,0.0000,0.4030,6.9750,15.3000,7.6534,3.0000,402.0000,17.0000,34.9000
0.0178,95.0000,1.4700,0.0000,0.4030,7.1350,13.9000,7.6534,3.0000,402.0000,17.0000,32.9000
0.0345,82.5000,2.0300,0.0000,0.4150,6.1620,38.4000,6.2700,2.0000,348.0000,14.7000,24.1000
0.0218,82.5000,2.0300,0.0000,0.4150,7.6100,15.7000,6.2700,2.0000,348.0000,14.7000,42.3000
0.0351,95.0000,2.6800,0.0000,0.4161,7.8530,33.2000,5.1180,4.0000,224.0000,14.7000,48.5000
0.0201,95.0000,2.6800,0.0000,0.4161,8.0340,31.9000,5.1180,4.0000,224.0000,14.7000,50.0000
0.1364,0.0000,10.5900,0.0000,0.4890,5.8910,22.3000,3.9454,4.0000,277.0000,18.6000,22.6000
0.2297,0.0000,10.5900,0.0000,0.4890,6.3260,52.5000,4.3549,4.0000,277.0000,18.6000,24.4000
0.2520,0.0000,10.5900,0.0000,0.4890,5.7830,72.7000,4.3549,4.0000,277.0000,18.6000,22.5000
0.1359,0.0000,10.5900,1.0000,0.4890,6.0640,59.1000,4.2392,4.0000,277.0000,18.6000,24.4000
0.4357,0.0000,10.5900,1.0000,0.4890,5.3440,100.0000,3.8750,4.0000,277.0000,18.6000,20.0000
0.1745,0.0000,10.5900,1.0000,0.4890,5.9600,92.1000,3.8771,4.0000,277.0000,18.6000,21.7000
0.3758,0.0000,10.5900,1.0000,0.4890,5.4040,88.6000,3.6650,4.0000,277.0000,18.6000,19.3000
0.2172,0.0000,10.5900,1.0000,0.4890,5.8070,53.8000,3.6526,4.0000,277.0000,18.6000,22.4000
0.1405,0.0000,10.5900,0.0000,0.4890,6.3750,32.3000,3.9454,4.0000,277.0000,18.6000,28.1000
0.2895,0.0000,10.5900,0.0000,0.4890,5.4120,9.8000,3.5875,4.0000,277.0000,18.6000,23.7000
0.1980,0.0000,10.5900,0.0000,0.4890,6.1820,42.4000,3.9454,4.0000,277.0000,18.6000,25.0000
0.0456,0.0000,13.8900,1.0000,0.5500,5.8880,56.0000,3.1121,5.0000,276.0000,16.4000,23.3000
0.0701,0.0000,13.8900,0.0000,0.5500,6.6420,85.1000,3.4211,5.0000,276.0000,16.4000,28.7000
0.1107,0.0000,13.8900,1.0000,0.5500,5.9510,93.8000,2.8893,5.0000,276.0000,16.4000,21.5000
0.1143,0.0000,13.8900,1.0000,0.5500,6.3730,92.4000,3.3633,5.0000,276.0000,16.4000,23.0000
0.3581,0.0000,6.2000,1.0000,0.5070,6.9510,88.5000,2.8617,8.0000,307.0000,17.4000,26.7000
0.4077,0.0000,6.2000,1.0000,0.5070,6.1640,91.3000,3.0480,8.0000,307.0000,17.4000,21.7000
0.6236,0.0000,6.2000,1.0000,0.5070,6.8790,77.7000,3.2721,8.0000,307.0000,17.4000,27.5000
0.6147,0.0000,6.2000,0.0000,0.5070,6.6180,80.8000,3.2721,8.0000,307.0000,17.4000,30.1000
0.3153,0.0000,6.2000,0.0000,0.5040,8.2660,78.3000,2.8944,8.0000,307.0000,17.4000,44.8000
0.5269,0.0000,6.2000,0.0000,0.5040,8.7250,83.0000,2.8944,8.0000,307.0000,17.4000,50.0000
0.3821,0.0000,6.2000,0.0000,0.5040,8.0400,86.5000,3.2157,8.0000,307.0000,17.4000,37.6000
0.4124,0.0000,6.2000,0.0000,0.5040,7.1630,79.9000,3.2157,8.0000,307.0000,17.4000,31.6000
0.2982,0.0000,6.2000,0.0000,0.5040,7.6860,17.0000,3.3751,8.0000,307.0000,17.4000,46.7000
0.4418,0.0000,6.2000,0.0000,0.5040,6.5520,21.4000,3.3751,8.0000,307.0000,17.4000,31.5000
0.5370,0.0000,6.2000,0.0000,0.5040,5.9810,68.1000,3.6715,8.0000,307.0000,17.4000,24.3000
