x,y
-3.3612,0.7813
-4.4614,0.4599
-4.3337,0.2352
-2.2713,0.7232
-3.8119,0.5297
-4.4284,0.7084
-3.3740,0.5341
-4.3681,0.0251
-4.5233,-0.1947
-5.3812,-0.5334
-5.1613,-0.3007
-5.2629,-0.9171
-4.5652,-0.1594
-4.5863,0.4999
-2.9550,0.3038
-3.3439,0.7534
-2.5336,1.1060
-2.8552,0.4288
-3.9201,0.5084
-3.5467,0.3411
-4.0992,0.1467
-1.7485,1.2935
-4.4412,0.5356
-6.0991,-0.4966
-4.0897,-0.1337
-4.3913,0.4298
-5.1497,-0.6453
-4.5274,0.3748
-5.8664,-0.5463
-3.5884,0.2381
-3.7571,0.1667
-5.0906,0.1891
-5.0216,0.2754
-3.8455,0.5468
-3.8499,0.4057
-5.2576,-0.3501
-2.4944,0.9821
-3.2997,0.0491
-3.6460,0.8889
-5.5827,-0.7071
-5.2642,0.1445
-3.1521,0.7311
-4.1716,0.2929
-2.7173,0.8275
-5.3270,0.1468
-5.7408,-0.7261
-5.9430,-0.4166
-3.1107,1.0827
-3.9583,0.5458
-4.2943,0.6568
-4.3608,0.0079
-5.0762,-0.1387
-4.0321,0.8204
-3.7147,0.1947
-3.4598,-0.0155
-4.0064,1.0743
-3.3820,0.6323
-3.1016,0.5213
-5.6722,-0.1820
-3.6446,0.4961
-3.3215,0.3367
-3.2242,0.3402
-4.5697,0.2628
-4.5842,-0.0607
-2.9726,0.8122
-3.5145,0.9239
-4.7982,0.2069
-3.5705,-0.2151
-5.2329,0.1805
-2.8965,0.9360
-5.0539,-0.6765
-5.6827,-0.7009
-3.4635,1.1524
-4.3321,-0.1302
-4.6296,-0.8207
-5.6463,-0.8748
-4.3673,-0.0434
-4.7158,0.3075
-3.5871,0.8474
-3.8070,0.1262
-3.8156,-0.0089
-3.6394,0.8876
-4.2405,0.6570
-4.3905,-0.3140
-2.3922,0.8556
-4.4164,0.0993
-3.6197,0.9240
-2.4305,0.6003
-4.6626,0.8734
-4.3783,-0.2992
-4.8195,0.1697
-4.9404,-0.3434
-3.4963,0.6187
-4.8166,0.5484
-5.9023,-0.9724
-3.7099,0.4336
-4.0431,0.4884
-4.6537,0.0797
-5.3410,-0.4462
-2.9928,0.1859
-3.0995,0.3438
-2.6317,1.2890
-4.2743,-0.0054
-3.1314,0.1061
-3.6808,1.2368
-2.2554,1.2680
-4.8608,-0.0772
-4.0314,0.6108
-3.3019,0.8992
-5.2692,-0.7733
-3.4815,0.6336
-5.2798,0.2029
-4.6699,-0.3110
-3.2396,0.8024
-4.3484,-0.3231
-4.2904,0.2976
-4.9375,-0.5814
-4.4769,-0.4176
-3.7924,0.3850
-6.0775,0.6061
-4.4887,0.2626
-4.8421,-0.6852
-4.6488,-0.5361
-5.8615,-0.0539
-4.4889,-0.2743
-5.6970,-0.4573
-4.3765,0.3552
-2.7433,1.1348
-5.1176,-0.1259
-4.1499,-0.1602
-4.7833,-0.0108
-4.0953,0.0289
-5.1466,0.2336
-4.6749,0.3322
-5.6184,0.1310
-4.3451,0.0444
-3.8182,0.4097
-4.8264,0.2712
-3.8306,0.4594
8.2695,8.7191
8.0283,8.2322
8.2259,8.4526
8.0929,8.5035
7.6940,7.6508
8.3550,8.6115
7.4855,7.5636
8.6077,8.9613
7.9810,8.0335
8.6641,9.1675
7.5859,7.3044
7.7002,7.8046
7.4071,7.1767
6.7066,6.2231
8.1957,8.5698
8.3522,8.7994
8.4261,8.8997
8.0765,8.4052
7.4730,7.3888
7.7671,7.9232
8.7100,9.2910
7.6253,7.6379
7.2416,7.4481
7.7553,7.8690
7.6932,7.8715
8.7419,9.5016
8.3231,8.3516
8.3930,8.7257
7.7672,7.7788
7.4641,7.3136
8.0146,7.8919
7.5632,7.5996
8.1728,8.1694
8.4108,8.9889
8.1923,8.3541
8.2174,8.5645
8.1952,8.3326
8.5972,9.0484
7.3812,7.1716
7.4200,7.2727
7.7767,7.8221
7.7824,7.9390
7.6556,7.5391
7.8009,7.8268
7.6128,7.5700
7.7436,7.5598
7.5979,7.6917
8.4217,8.9963
7.7267,7.6958
8.6724,9.3167
8.3599,8.6317
7.6535,7.4787
8.4056,8.6203
7.8787,8.0314
7.6394,7.6399
8.0180,8.1886
8.0778,8.5176
7.8783,7.7062
8.2852,8.7863
8.5485,8.9313
7.7267,7.5824
7.2428,7.1917
8.1939,8.5855
8.3502,8.5546
7.7257,7.7511
8.0995,8.4035
8.6227,8.9923
8.3385,8.7608
7.4294,7.3499
8.4808,8.8999
7.7308,7.5223
8.2206,8.5649
7.5021,7.4092
7.5766,7.5327
7.7925,7.8096
8.2967,8.5683
7.9196,8.3150
7.7331,7.7308
7.9784,8.0950
7.9595,8.1501
7.8260,7.9786
8.1763,8.4591
7.5000,7.2261
7.7630,7.8097
8.0500,8.1578
8.6933,9.3567
8.3846,8.5766
7.6461,7.3644
7.3655,7.2219
7.5779,7.4723
8.5606,8.7648
7.1786,6.8184
8.0178,8.3722
8.1796,8.3891
7.9821,8.0979
8.3967,8.6821
7.1899,6.9932
9.4198,10.0783
7.7034,7.6720
7.9801,8.2455
8.6560,9.3058
7.7630,7.8482
7.6865,7.7684
8.0122,8.0926
7.4689,7.3479
8.3898,8.9151
7.1866,7.0749
7.7998,7.8795
8.1011,8.1744
7.8168,7.8836
8.0743,8.4909
8.6917,9.1036
8.1099,8.4769
8.0026,8.1055
8.3338,8.5592
8.4337,8.9401
7.5053,7.5080
8.0344,8.5164
8.4555,8.5820
7.9929,8.1495
7.5507,7.3216
7.4723,7.5486
8.3161,8.5350
8.6724,9.2086
7.3976,7.3136
7.3713,7.3560
7.7415,7.8666
8.3675,8.6076
7.7896,7.7147
7.5010,7.5504
7.7058,7.5961
8.1430,8.5374
8.2416,8.5262
7.9817,8.1215
7.3576,7.0855
8.4597,9.0357
7.7083,7.7866
7.8230,7.9698
7.1647,7.0317
8.0123,8.1170
7.6550,7.6384
7.6255,7.4758
8.9623,9.6816
7.4418,7.3659
7.0029,6.7170
7.9902,8.2536
7.8270,8.0369
7.7169,7.7650
7.7451,7.7576
8.5828,9.0474
-6.6782,-3.6550
-8.3643,-6.5908
-7.4755,-6.2801
-7.2901,-4.1579
-7.1142,-4.4166
-6.5380,-3.6775
-7.8412,-6.4696
-7.2815,-5.8975
-7.3517,-4.8972
-7.6286,-6.2834
-7.3590,-6.1426
-8.1947,-6.6978
-7.1945,-5.1070
-7.7670,-6.9108
-8.6641,-7.6312
-7.6002,-5.4943
-7.8781,-7.5515
-7.7070,-6.4555
-7.5638,-5.5799
-6.9718,-5.5422
-6.9051,-4.5111
-7.7387,-6.4527
-7.4191,-5.7138
-8.1351,-7.0229
-7.1183,-5.1778
-7.8448,-7.0528
-7.3219,-5.4840
-7.2628,-4.7579
-6.9317,-3.6393
-7.0218,-5.5677
-7.2090,-6.2917
-7.8851,-6.2871
-7.1644,-5.3486
-7.7199,-6.8195
-7.5775,-5.8420
-8.0072,-7.3813
-7.7631,-5.7759
-6.3860,-3.4620
-6.2875,-4.2300
-8.3332,-7.6864
-8.0363,-7.2831
-7.6088,-6.4094
-7.2485,-5.3449
-7.8936,-5.8248
-7.4957,-5.6312
-7.4171,-5.5976
-7.2061,-4.5061
-7.2859,-5.3581
-7.6279,-5.5550
-7.7036,-6.3476
-7.6386,-5.9868
-7.9129,-6.5210
-8.3840,-6.9113
-7.4337,-6.5676
-8.6946,-7.2965
-7.2448,-5.5515
-6.8300,-3.8294
-7.4995,-4.7201
-6.4970,-3.5034
-7.6701,-6.5333
-7.2220,-5.0776
-7.1946,-5.3898
-7.3439,-5.8731
-7.5767,-5.5614
-7.3674,-5.4686
-7.3911,-5.0494
-7.1849,-4.5424
-6.0467,-3.0805
-7.0749,-4.2501
-7.2954,-6.2392
-7.5623,-5.1788
-7.5877,-5.7368
-6.5195,-4.5661
-8.2413,-6.1541
-7.3922,-5.2697
-7.3778,-4.8186
-7.1874,-5.4475
-6.6058,-4.0834
-7.8633,-5.8710
-7.2171,-4.6211
-7.2620,-5.5323
-6.6887,-5.0977
-7.3447,-4.5142
-6.8769,-4.7365
-7.4228,-7.0736
-7.5200,-6.2856
-7.7303,-5.9021
-7.3470,-5.6854
-7.8966,-6.4338
-7.1183,-5.1475
-7.2049,-4.4100
-7.0046,-4.6456
-8.3508,-7.3829
-7.1703,-5.6091
-7.4147,-5.1301
-7.5983,-6.1404
-8.3320,-8.3708
-7.1800,-5.3983
-7.6265,-6.0013
-7.5264,-5.4966
-7.6174,-6.3685
-6.6489,-3.4249
-6.9233,-4.9851
-7.1114,-5.7987
-7.1356,-5.0346
-7.3733,-5.4360
-7.0323,-4.9964
-6.9346,-4.8050
-7.4913,-6.0753
-6.8042,-4.4417
-7.7522,-5.8069
-7.3211,-5.7823
-7.4155,-4.4767
-6.7879,-4.9959
-6.9534,-5.8212
-7.9141,-6.7822
-7.4100,-6.3456
-7.4284,-5.2215
-8.4605,-6.3646
-7.4532,-7.0199
-7.3963,-5.9148
-7.8709,-6.8432
-7.5737,-6.2959
-8.0344,-6.2354
-6.7325,-5.4271
-7.3910,-4.6733
-7.4750,-6.0469
-7.3031,-4.7928
-7.5451,-6.0930
-7.1981,-5.3127
-7.4561,-5.4507
-7.5218,-7.2098
-6.8415,-4.4459
-7.1299,-6.0398
-7.1090,-5.2621
-7.1666,-5.4357
-7.6224,-5.6402
-7.8916,-6.4513
-7.4009,-6.1408
-7.4166,-5.2830
-7.6847,-5.8386
-7.5762,-6.0548
-7.2792,-6.3800
-7.2540,-5.7174
-7.6435,-6.6765
-7.4491,-6.0722
-7.8103,-6.1853
-7.3891,-5.5966
-7.6988,-5.8929
-7.3233,-5.4873
-8.6224,-0.7458
-9.0699,-1.2707
-8.9462,-0.2039
-8.8175,-0.3134
-8.7524,-1.5934
-8.6415,-1.1786
-9.0167,-0.9628
-9.6876,-2.9339
-8.3589,0.4148
-9.4639,-2.6192
-9.3899,-2.9411
-8.5022,-0.6235
-9.0268,-0.6448
-8.7692,-0.1173
-9.2237,-1.5252
-8.8470,-0.8431
-9.4187,-3.3455
-9.4553,-1.7866
-9.3795,-1.4755
-7.8841,1.8808
-8.4617,0.0576
-8.9757,-0.9621
-8.7955,-0.1799
-8.5702,0.5557
-8.5198,-0.9434
-8.0049,0.6045
-8.6052,-0.0686
-9.4958,-2.3705
-8.0558,0.1374
-8.5543,-0.8514
-8.7264,-0.9303
-9.4553,-3.7703
-9.3422,-1.2707
-8.6257,-0.6888
-9.0820,-2.8831
-8.1067,0.6138
-9.1709,-1.4090
-9.2486,-0.7926
-8.8318,-0.8450
-9.0213,-0.6727
-8.8395,-1.0982
-9.7071,-2.7072
-9.0236,-2.1767
-8.5149,-0.0076
-8.7565,-0.8515
-8.9658,-0.8299
-8.6314,-0.0553
-8.7092,-0.7304
-8.9699,-0.7781
-8.8873,-1.4475
-9.0739,-1.4512
-9.0343,-1.5677
-9.3509,-2.1320
-8.3371,-0.0590
-8.5540,0.3044
-8.6620,-0.4741
-9.1566,-1.0172
-9.6735,-3.3949
-9.7305,-3.1651
-9.3194,-2.4167
-8.6383,0.1140
-9.1193,-2.5836
-8.9870,-1.1040
-8.9727,-1.8503
-8.9483,-0.5565
-9.5916,-3.0094
-9.3271,-2.1650
-9.0439,-1.6424
-8.7890,-0.9820
-9.2004,-1.2160
-9.1503,-1.3348
-8.8832,-0.4871
-7.6559,1.9432
-8.5275,-0.9447
-9.1940,-1.7406
-8.6773,-0.2403
-8.2974,0.3070
-8.5485,-0.8797
-9.1985,-2.2788
-9.2830,-2.2251
-8.9074,-1.5477
-8.7889,-0.8907
-9.2935,-1.3356
-8.7505,-0.6172
-9.2434,-1.4941
-8.8627,-1.0899
-8.7752,-0.5874
-8.9274,-1.4675
-9.0033,-0.8254
-8.8585,-1.1905
-9.3344,-1.8587
-9.2943,-1.7642
-8.8748,-0.7699
-9.0975,-1.4953
-8.3811,0.5949
-9.1766,-1.5107
-8.8771,-0.8801
-8.0999,0.5582
-7.9394,1.8089
-9.8264,-2.7261
-8.7112,-0.0034
-9.3365,-2.4776
-8.5701,0.8906
-8.7814,-0.8453
-9.6267,-2.8908
-9.5412,-1.9472
-8.7496,-1.0965
-9.2397,-1.9918
-9.3003,-1.9298
-8.7347,-0.4340
-8.8326,-0.8869
-9.0375,-1.1539
-8.8309,-1.5049
-8.9448,-1.9464
-9.5950,-3.5140
-9.2128,-1.0851
-8.6993,-1.0987
-8.5667,0.2396
-9.2797,-1.5950
-8.9983,-1.5308
-9.4096,-1.6205
-9.3674,-0.2045
-9.0789,-0.7297
-9.7872,-3.0850
-9.2245,-1.4911
-8.9659,-2.7357
-9.0737,-1.7153
-8.7815,-0.5139
-9.1391,-1.3741
-8.9958,-0.5589
-8.1143,0.8484
-8.5946,0.0331
-8.9066,-0.6615
-8.9444,-0.3224
-9.1296,-1.9734
-8.1937,0.4581
-8.6758,0.4598
-8.9956,-2.0253
-9.5469,-3.1117
-8.4129,1.1657
-9.4073,-2.5053
-8.8927,-0.2018
-8.7992,-0.6735
-9.1828,-1.6429
-8.6307,-0.7803
-8.8263,-2.0786
-9.1302,-1.5044
-9.0813,-1.7406
-9.1876,-1.3621
-8.6330,-0.1246
